1001,LEVEL1_GIFTBOX,LEVEL1_GIFTBOX_TITLE,LEVEL1_GIFTBOX_MSG,,0,item,100000,<item id='1' day='3'  />,item,100000,<item id='20' day='3'  />,item,100000,<item id='23' day='3'  />,item,100000,<item id='112' day='3'  />,item,100000,<item id='84' day='3'  />,item,100000,<item id='373' day='3'  />,item,100000,<item id='1002' num='1'  />,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1002,LEVEL3_GIFTBOX,LEVEL3_GIFTBOX_TITLE,LEVEL3_GIFTBOX_MSG,,0,item,100000,<item id='1003' num='1'  />,item,100000,<item id='5' day='3'  />,item,100000,<item id='21' day='3'  />,item,100000,<item id='15' day='3'  />,item,100000,<item id='207' day='3'  />,item,100000,<item id='111' day='3'  />,item,100000,<item id='348' num='5'  />,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1003,LEVEL5_GIFTBOX,LEVEL5_GIFTBOX_TITLE,LEVEL5_GIFTBOX_MSG,,0,item,100000,<item id='1004' num='1'  />,item,100000,<item id='4' day='7'  />,item,100000,<item id='1032' num='1'  />,item,100000,<item id='5103' num='1'  />,item,100000,<item id='1033' num='1'  />,item,100000,<item id='5201' num='1'  />,item,100000,<item id='348' num='5'  />,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1004,LEVEL10_GIFTBOX,LEVEL10_GIFTBOX_TITLE,LEVEL10_GIFTBOX_MSG,,0,item,100000,<item id='1005' num='1'  />,item,100000,<item id='14' day='7'  />,item,100000,<item id='16' day='7'  />,item,100000,<item id='19' day='7'  />,item,100000,<item id='1029' num='1'  />,item,100000,<item id='112' day='5'  />,item,100000,<item id='84' day='5'  />,item,100000,<item id='348' num='5'  />,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1005,LEVEL15_GIFTBOX,LEVEL15_GIFTBOX_TITLE,LEVEL15_GIFTBOX_MSG,,0,item,100000,<item id='1006' num='1'  />,item,100000,<item id='320' day='7'  />,item,100000,<item id='22' day='7'  />,item,100000,<item id='15' day='7'  />,item,100000,<item id='73' num='1'  />,item,100000,<item id='209' day='7'  />,item,100000,<item id='111' day='5'  />,item,100000,<item id='348' num='5'  />,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1006,LEVEL20_GIFTBOX,LEVEL20_GIFTBOX_TITLE,LEVEL20_GIFTBOX_MSG,,0,item,100000,<item id='4' day='7'  />,item,100000,<item id='356' day='7'  />,item,100000,<item id='357' day='7'  />,item,100000,<item id='1032' num='1'  />,item,100000,<item id='1033' num='1'  />,item,100000,<item id='5201' num='1'  />,item,100000,<item id='348' num='5'  />,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1027,ExpCoupon1,ExpCoupon_TITLE,ExpCoupon_MSG,,1,exp,20000,2000,exp,40000,1000,exp,40000,500,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1028,ExpCoupon2,ExpCoupon_TITLE,ExpCoupon_MSG,,1,exp,20000,4000,exp,40000,2000,exp,40000,1000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1029,ExpCoupon3,ExpCoupon_TITLE,ExpCoupon_MSG,,1,exp,20000,8000,exp,40000,4000,exp,40000,2000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1030,PntCoupon1,PntCoupon_TITLE,PntCoupon_MSG,,1,point,20000,1000,point,40000,500,point,40000,250,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
