1,539
2,2186
3,3941
4,5822
5,7829
6,9971
7,12266
8,14723
9,17342
10,20141
11,23138
12,26342
13,29762
14,33425
15,37412
16,41759
17,46502
18,51668
19,57302
20,63440
21,70127
22,77417
23,85364
24,94031
25,103472
26,113768
27,124991
28,137222
29,150551
30,165212
31,181340
32,199088
33,218609
34,240083
35,263699
36,289682
37,318257
38,349694
39,384272
40,422306
41,464147
42,510173
43,560798
44,616490
45,677744
46,745127
47,819251
48,900782
49,990467
50,1089125
51,1197647
52,1317023
53,1448333
54,1592774
55,1751660
56,1926440
57,2118689
58,2330171
59,2562794
60,2821013
61,3110210
62,3437009
63,3809555
64,4237991
65,4734971
66,5316434
67,6002567
68,7306217
69,8870597
70,10763495
71,13073832
72,86642976300
