1,1000
2,2500
3,4500
4,7000
5,11500
6,18000
7,26000
8,30685
9,34797
10,39808
11,45938
12,53471
13,62775
14,74326
15,88746
16,106850
17,129716
18,157500
19,193600
20,223025
21,253275
22,290037
23,328900
24,369914
25,413127
26,458590
27,506352
28,556463
29,608971
30,663927
31,721380
32,781380
33,843975
34,909216
35,977152
36,1047833
37,1121307
38,1197625
39,1276836
40,1358990
41,1444135
42,1532322
43,1623600
44,1718019
45,1815627
46,1916475
47,2020612
48,2128088
49,2238951
50,2353252
51,2471040
52,2592365
53,2717275
54,3042515
55,3386139
56,3768145
57,4192745
58,4664674
59,5189119
60,5776660
61,6440205
62,7195752
63,8063134
64,9067201
65,10239169
66,11618594
67,13255876
68,16302401
69,19996580
70,24510755
71,30069814
72,86642976300
